"id","polygon"
building_718,POINT(2.34909 48.86179)
building_719,POINT(2.34969 48.86317)
building_720,POINT(2.34972 48.86322)
building_721,POINT(2.34973 48.8633)
building_722,POINT(2.3497 48.86361)
building_723,POINT(2.34954 48.86277)
building_724,POINT(2.34955 48.86283)
building_725,POINT(2.34957 48.86288)
building_726,POINT(2.34959 48.86292)
building_727,POINT(2.34962 48.863)
building_729,POINT(2.34939 48.8624)
building_730,POINT(2.34887 48.86235)
building_731,POINT(2.34943 48.8625)
building_733,POINT(2.34782 48.85821)
building_734,POINT(2.34819 48.85977)
building_736,POINT(2.34825 48.85998)
building_737,POINT(2.34899 48.86033)
building_738,POINT(2.34861 48.86058)
building_739,POINT(2.34861 48.86063)
building_740,POINT(2.34931 48.86141)
building_741,POINT(2.34963 48.86145)
building_742,POINT(2.3492 48.86162)
building_743,POINT(2.34925 48.86172)
building_744,POINT(2.34928 48.86178)
building_745,POINT(2.34931 48.86184)
building_747,POINT(2.34965 48.86203)
building_748,POINT(2.34951 48.86226)
building_749,POINT(2.34956 48.8624)
building_750,POINT(2.34991 48.86323)
building_751,POINT(2.34995 48.86329)
building_752,POINT(2.35024 48.86346)
building_753,POINT(2.33483 48.8653)
building_754,POINT(2.33468 48.86565)
building_755,POINT(2.33517 48.86577)
building_756,POINT(2.33523 48.8659)
building_757,POINT(2.3353 48.86604)
building_758,POINT(2.33536 48.86615)
building_759,POINT(2.33567 48.8667)
building_760,POINT(2.33574 48.86697)
building_761,POINT(2.33511 48.8652)
building_762,POINT(2.33541 48.86588)
building_763,POINT(2.33546 48.86599)
building_765,POINT(2.3358 48.86668)
building_766,POINT(2.34746 48.85969)
building_767,POINT(2.34732 48.85951)
building_769,POINT(2.34715 48.85997)
building_770,POINT(2.34744 48.86016)
building_771,POINT(2.34546 48.86372)
building_772,POINT(2.32411 48.86713)
building_773,POINT(2.32426 48.86734)
building_774,POINT(2.32436 48.86747)
building_775,POINT(2.32448 48.86764)
building_776,POINT(2.32458 48.86778)
building_780,POINT(2.34508 48.85819)
building_782,POINT(2.34447 48.85843)
building_784,POINT(2.34386 48.85861)
building_785,POINT(2.34486 48.85831)
building_786,POINT(2.34562 48.86071)
building_787,POINT(2.34558 48.86073)
building_788,POINT(2.3455 48.86078)
building_789,POINT(2.34543 48.86081)
building_790,POINT(2.34536 48.86085)
building_791,POINT(2.34528 48.86089)
building_792,POINT(2.34514 48.8609)
building_794,POINT(2.34445 48.86108)
building_796,POINT(2.34434 48.86109)
building_797,POINT(2.34426 48.8611)
building_799,POINT(2.34361 48.86121)
